SNo,HOTEL NAME,CITIES,LOCATION,NUMBER OF REVIEWS,USER RATINGS,STAR RATING,REVIEW SCORE
6366,Oaks Melbourne on Market Hotel,Melbourne,"Melbourne CBD, Melbourne","4,523 reviews",8.0,1,Very good
6367,Modern Apartment with Sea & City Views,Melbourne,"South Melbourne, Melbourne",,,1,
6368,Corporate Living Accommodation Hawthorn,Melbourne,Melbourne,450 reviews,8.2,2,Very good
6369,In the Heart of Port Melbourne,Melbourne,"Port Melbourne, Melbourne",13 reviews,9.3,3,Superb
6370,Lifestyle 3 Bedrooms Townhouse In Port Melbourne,Melbourne,Melbourne,,,4,
6371,Quest Docklands,Melbourne,"Docklands, Melbourne","1,734 reviews",8.3,1,Very good
6372,MVV Motel & Comfy Kew Apartments,Melbourne,"Kew, Melbourne",356 reviews,7.5,1,Good
6373,Hawthorn Gardens Serviced Apartments,Melbourne,Melbourne,"1,110 reviews",6.8,4,Review score
6374,Hiigh Apartments,Melbourne,"Prahran, Melbourne",260 reviews,7.9,4,Good
6375,1BR APT Albert Lake& Crown& DFO& MEC,Melbourne,"Southbank, Melbourne",,,5,
6376,3 BR 2 Bath 2 Carparks next to Crown Casino,Melbourne,"Southbank, Melbourne",1 review,6.0,5,Review score
6377,Collins House Apartments by CLLIX,Melbourne,"Melbourne CBD, Melbourne","1,370 reviews",8.9,2,Fabulous
6378,381 Cremorne,Melbourne,"Cremorne , Melbourne",849 reviews,8.5,5,Very good
6379,Parkville Place Serviced Apartments,Melbourne,Melbourne,761 reviews,6.2,1,Review score
6380,Blessington St Studio Apartments,Melbourne,"St Kilda, Melbourne",50 reviews,8.5,2,Very good
6381,Shiny Urban Oasis,Melbourne,"Southbank, Melbourne",1 review,9.0,4,Superb
6382,Crest on Barkly Hotel,Melbourne,"St Kilda, Melbourne",893 reviews,6.7,1,Review score
6383,East Brunswick Hotel,Melbourne,"Lygon Street, Melbourne",185 reviews,8.4,1,Very good
6384,Free Parking-Luxurious & Spacious Skyline view Apt,Melbourne,"Southbank, Melbourne",2 reviews,8.5,2,Very good
6385,City Edge East Melbourne Apartment Hotel,Melbourne,"East Melbourne, Melbourne","1,236 reviews",5.0,3,Review score
6386,Adorabe 1-Bedroom guesthouse with free parking on premises,Melbourne,"Prahran, Melbourne",,,4,
6387,3 Beds Apartment *Free carpark,Melbourne,"Melbourne CBD, Melbourne",23 reviews,7.2,1,Good
6388,Shadow Play Collection,Melbourne,"Southbank, Melbourne",11 reviews,6.9,4,Review score
6389,St Kilda Townhouse - Stunning & Entire 3 BRM house,Melbourne,"St Kilda, Melbourne",10 reviews,9.7,4,Exceptional
6390,MELBOURNE STAR APARTMENT,Melbourne,"Melbourne CBD, Melbourne",61 reviews,9.1,5,Superb
6391,Crest on Park,Melbourne,"St Kilda, Melbourne","1,026 reviews",7.2,5,Good
6392,Mega Style Apartments Victoria One,Melbourne,"Melbourne CBD, Melbourne",53 reviews,8.1,2,Very good
6393,Boutique Beach House in the HEART of St. Kilda,Melbourne,"St Kilda, Melbourne",20 reviews,9.4,5,Superb
6394,ReadySet Apartments on Rose Lane,Melbourne,"Melbourne CBD, Melbourne",141 reviews,7.2,1,Good
6395,Exclusive Stays - SouthbankONE,Melbourne,"Southbank, Melbourne",48 reviews,8.1,2,Very good
6396,Exclusive Stays - Southgate 28,Melbourne,"Southbank, Melbourne",17 reviews,7.6,4,Good
6397,Mantra on Jolimont,Melbourne,"East Melbourne, Melbourne","1,754 reviews",7.8,1,Good
6398,Exclusive Stays - Boulevard Penthouse,Melbourne,"Southbank, Melbourne",15 reviews,8.1,1,Very good
6399,The Escape in Southern Cross Station,Melbourne,"Melbourne CBD, Melbourne",151 reviews,7.9,2,Good
6400,Exclusive Stays - Gallery Penthouse,Melbourne,"Southbank, Melbourne",21 reviews,7.7,3,Good
6401,Close To All,Melbourne,"Melbourne CBD, Melbourne",61 reviews,8.7,4,Fabulous
6402,Exclusive Stays - Yarra Condos,Melbourne,"Southbank, Melbourne",27 reviews,8.7,1,Fabulous
6403,Exclusive Stays - Wrap,Melbourne,"Southbank, Melbourne",18 reviews,9.0,1,Superb
6404,Exclusive Stays - Southgate,Melbourne,"Southbank, Melbourne",15 reviews,9.1,4,Superb
6405,Exclusive Stays - The Centurion,Melbourne,"Southbank, Melbourne",20 reviews,8.2,4,Very good
6406,Exclusive Stays - SXY,Melbourne,"South Yarra, Melbourne",9 reviews,9.1,5,Superb
6407,Exclusive Stays - Gallery Tower,Melbourne,"Southbank, Melbourne",33 reviews,8.0,5,Very good
6408,Exclusive Stays - The Summit,Melbourne,"Southbank, Melbourne",31 reviews,8.7,2,Fabulous
6409,Exclusive Stays - Sentinel,Melbourne,"Southbank, Melbourne",68 reviews,8.4,5,Very good
6410,IMSA Group,Melbourne,"Southbank, Melbourne",163 reviews,7.7,1,Good
6411,Melbourne Holiday Apartments Flinders Wharf,Melbourne,"Docklands, Melbourne",216 reviews,8.8,2,Fabulous
6412,Luxe Escape on Flinders Lane with Jungle bath!,Melbourne,"Melbourne CBD, Melbourne",6 reviews,8.8,1,Fabulous
6413,The Queen apartment of Melbourne,Melbourne,"Melbourne CBD, Melbourne",19 reviews,6.4,1,Review score
6414,Acland Street Studio Apartment FREE PARKING,Melbourne,"St Kilda, Melbourne",74 reviews,6.6,2,Review score
6415,Tribeca Serviced Apartments,Melbourne,"East Melbourne, Melbourne","1,908 reviews",6.6,3,Review score
6416,Punthill South Yarra Grand,Melbourne,"South Yarra, Melbourne",533 reviews,7.2,4,Good
6417,Southbank 2bedrooms apartment opposite casino,Melbourne,"Southbank, Melbourne",1 review,5.0,1,Review score
6418,Homestay - Yarra River Boulevard,Melbourne,"Richmond, Melbourne",34 reviews,8.4,1,Very good
6419,Shiny Urban Oasis (2BR1B+Wifi+View+WWS nearby),Melbourne,"Southbank, Melbourne",4 external reviews,Exceptional 10,4,
6420,Your Home Away from Home,Melbourne,Melbourne,75 reviews,9.1,4,Superb
6421,Luxe Urban Escape @CBD,Melbourne,"Melbourne CBD, Melbourne",,,5,
6422,Punthill Essendon,Melbourne,Melbourne,341 reviews,7.8,5,Good
6423,151 Hoddle Budget Private Rooms,Melbourne,"East Melbourne, Melbourne",138 reviews,6.9,2,Review score
6424,Milano Serviced Apartments,Melbourne,"Melbourne CBD, Melbourne","1,707 reviews",6.8,5,Review score
6425,Plum Serviced Apartments North Melbourne,Melbourne,"North Melbourne, Melbourne",176 reviews,6.5,1,Review score
6426,Yarra vista stays,Melbourne,"South Yarra, Melbourne",,,2,
6427,Marvel At Madison,Melbourne,"Melbourne CBD, Melbourne",,,4,
6428,Elizabeth Hostel,Melbourne,"Melbourne CBD, Melbourne",809 reviews,4.0,1,Review score
6429,Modern double storey 3 BDRs in South Mel(TF5SM01),Melbourne,"South Melbourne, Melbourne",3 external reviews,Very good 8.0,1,
6430,Contemporary Southbank Living,Melbourne,"Southbank, Melbourne",15 external reviews,Superb 9.5,2,
6431,Cosy 1-Bed Ground Level Apt. Free Street Parking!,Melbourne,Melbourne,,,3,
6432,Plum Serviced Apartments Carlton,Melbourne,"Carlton, Melbourne",625 reviews,6.2,4,Review score
6433,Brunswick Park Pad,Melbourne,Melbourne,2 reviews,10,1,Exceptional
6434,Relaxing Urban Oasis,Melbourne,"West Melbourne, Melbourne",8 reviews,9.2,1,Superb
6435,Beautiful 2 brs in CBD with free parking (TF4922),Melbourne,"Melbourne CBD, Melbourne",5 reviews,8.0,4,Very good
6436,Contemporary abode with ultra convenience,Melbourne,"Melbourne CBD, Melbourne",2 reviews,9.5,4,Exceptional
6437,"New Cozy Apartment in Melbourne, reservation in telgram",Melbourne,"Melbourne CBD, Melbourne",,,5,
6438,Highrise best location 2baths,Melbourne,"Melbourne CBD, Melbourne",15 reviews,9.3,2,Superb
6439,Spacious Converted Home on The Most Liveable St!,Melbourne,"Collingwood, Melbourne",1 review,10,5,Exceptional
6440,Cozy One Bed APT in the heart of CBD(TF30318）,Melbourne,"West Melbourne, Melbourne",93 external reviews,Very good 8.4,1,
6441,Park Regis Griffin Suites,Melbourne,"St Kilda Road, Melbourne",978 reviews,8.0,2,Very good
6442,15 Charles Abbotsford Homestay,Melbourne,Melbourne,323 reviews,6.7,4,Review score
6443,Aspire Melbourne,Melbourne,"Melbourne CBD, Melbourne",409 reviews,8.5,1,Very good
6444,Luxurious 2 Bed Apartment with Captivating View,Melbourne,"Melbourne CBD, Melbourne",1 review,8.0,2,Very good
6445,Footscray home just 7km away to Melbourne CBD newly stylist setup,Melbourne,"Footscray, Melbourne",4 reviews,9.2,3,Superb
6446,Elegant Three Bedrooms Apartment with Free Parking in Southbank Near Crown,Melbourne,"Southbank, Melbourne",32 reviews,7.4,4,Good
6447,Davis Avenue Apartments,Melbourne,"South Yarra, Melbourne",290 reviews,8.3,1,Very good
6448,Studio 4 - Saint George Accommodation,Melbourne,"South Yarra, Melbourne",44 reviews,8.0,1,Very good
6449,Good memories A,Melbourne,Melbourne,33 reviews,7.3,4,Good
6450,A Majestic Victorian Private Rear Access Quarters,Melbourne,Melbourne,7 reviews,8.7,4,Fabulous
6451,Contemporary 1B1B Condo in CBD,Melbourne,"Melbourne CBD, Melbourne",5 external reviews,Superb 9.2,5,
6452,Royal Derby Hotel,Melbourne,"Fitzroy, Melbourne",93 reviews,7.6,5,Good
6453,"Two Pines, whole home in Tullamarine near airport!",Melbourne,"Tullamarine, Melbourne",13 reviews,8.9,2,Fabulous
6454,Spectacular Views and Stylish Design - Your Perfect Melbourne Stay,Melbourne,"Melbourne CBD, Melbourne",12 reviews,7.4,5,Good
6455,Lumina Suites,Melbourne,"West Melbourne, Melbourne",279 reviews,8.7,1,Fabulous
6456,Evancourt Motel Malvern East,Melbourne,Melbourne,176 reviews,6.1,2,Review score
6457,City Edge on Elizabeth Apartment Hotel,Melbourne,"Melbourne CBD, Melbourne",178 reviews,5.1,4,Review score
6458,Henry Home,Melbourne,Melbourne,5 reviews,8.8,1,Fabulous
6459,"Lux Apartment in Melbourne, reservation in description",Melbourne,"Melbourne CBD, Melbourne",,,1,
6460,Collins central 2-bd apartment with pre-reserve parking,Melbourne,"Melbourne CBD, Melbourne",23 reviews,5.7,2,Review score
6461,Nest Apartments on Rose Lane,Melbourne,"Melbourne CBD, Melbourne",21 reviews,7.6,3,Good
6462,Lovely 2 Bed apartment in Melbourne CBD(TF480122),Melbourne,"Melbourne CBD, Melbourne",6 reviews,7.0,1,Good
6463,Reservoir 短租,Melbourne,Melbourne,304 reviews,4.5,1,Review score
6464,Exceptional views 2Bdr2Bath Apt in CBD (TF600223),Melbourne,"Melbourne CBD, Melbourne",6 reviews,8.5,4,Very good
6465,Homely Apartment with City Views,Melbourne,"West Melbourne, Melbourne",6 external reviews,Superb 9.3,4,
6466,Quest Brighton on the Bay,Melbourne,"Brighton, Melbourne",539 reviews,8.4,5,Very good
6467,Calming Urban Oasis,Melbourne,"West Melbourne, Melbourne",3 external reviews,Exceptional 10,5,
6468,Two Bedroom Apartment in North Melbourne,Melbourne,"North Melbourne, Melbourne",33 reviews,7.9,2,Good
6469,Carlton Stunning View Apartment with Free Parking -2,Melbourne,"Carlton, Melbourne",4 reviews,8.2,5,Very good
6470,Stylish Urban Oasis,Melbourne,"West Melbourne, Melbourne",6 reviews,9.8,1,Exceptional
6471,Lovely 1 Bed Apt+One Free Parking (TF30523),Melbourne,"South Melbourne, Melbourne",3 external reviews,Review score 6.7,2,
6472,Style City Apartment Living !,Melbourne,"Melbourne CBD, Melbourne",1 review,10,4,Exceptional
6473,Melbourne CBD Central Apartment Hotel,Melbourne,"Melbourne CBD, Melbourne",713 reviews,6.8,1,Review score
6474,Riverside Apartments Melbourne (formerly Best Western Riverside Apartments),Melbourne,"Melbourne CBD, Melbourne","1,594 reviews",6.5,2,Review score
6475,Homely Getaways at 429 Spencer,Melbourne,"West Melbourne, Melbourne",16 reviews,6.7,3,Review score
6476,Exclusive 2 bed pad with views,Melbourne,"South Melbourne, Melbourne",6 reviews,6.3,4,Review score
6477,Kensington modern cozy unit w/direct street access,Melbourne,Melbourne,6 reviews,8.2,1,Very good
6478,Angel's Space,Melbourne,"West Melbourne, Melbourne",2 reviews,6.0,1,Review score
6479,1 Bedroom Modern Apartment Near Crown and CBD,Melbourne,"Southbank, Melbourne",21 reviews,7.8,4,Good
6480,ACD Apartments,Melbourne,"Docklands, Melbourne",417 reviews,8.0,4,Very good
6481,MelbCBD Central 1BR1BTH GymPool NYE Fireworks view,Melbourne,"Melbourne CBD, Melbourne",1 review,10,5,Exceptional
6482,Contemporary 2-Bed Apartment in Melbourne CBD,Melbourne,"Melbourne CBD, Melbourne",4 reviews,8.2,5,Very good
6483,lovely 1 Bedroom apt + Free parking,Melbourne,Melbourne,,,2,
6484,Spectacular Victoria Harbour Apartment Docklands,Melbourne,"Docklands, Melbourne",,,5,
6485,Cozy beachside flat in Hampton,Melbourne,"Hampton, Melbourne",2 reviews,10,1,Exceptional
6486,Exclusive Stays - Southbank Tower,Melbourne,"Southbank, Melbourne",1 review,8.0,2,Very good
6487,Astonishing Southbank Pearl Tower Residences near Crown Casino,Melbourne,"Southbank, Melbourne",51 reviews,8.8,1,Fabulous
6488,Poets Retreat,Melbourne,"Elwood, Melbourne",10 reviews,8.2,1,Very good
6489,Readyset Apartments at Midtown,Melbourne,"Melbourne CBD, Melbourne",5 reviews,9.2,2,Superb
6490,2 Bed Apt with CAR Parking in SouthYarra（TF150221）,Melbourne,"South Yarra, Melbourne",3 reviews,7.0,3,Good
6491,The Sebel Melbourne Malvern,Melbourne,Melbourne,671 reviews,8.2,4,Very good
6492,Ocean view apartment close to CBD with indoor pool.,Melbourne,"South Melbourne, Melbourne",1 review,6.0,1,Review score
6493,Grandhome Melbourne Airport & Shops,Melbourne,Melbourne,6 reviews,8.2,1,Very good
6494,Carefree Carlton Living,Melbourne,"Carlton, Melbourne",10 external reviews,Superb 9.2,4,
6495,Sunny Urban Oasis,Melbourne,"West Melbourne, Melbourne",4 reviews,8.8,4,Fabulous
6496,Luxury St Kilda Townhouse in the Sky,Melbourne,"St Kilda, Melbourne",71 reviews,8.8,5,Fabulous
6497,WRAP on Southbank,Melbourne,"Southbank, Melbourne","3,620 reviews",8.2,5,Very good
6498,H & D Apartments,Melbourne,"St Kilda, Melbourne",64 reviews,2.5,2,Review score
6499,Lovely older home,Melbourne,"Footscray, Melbourne",33 reviews,8.0,5,Very good
6500,"Oceanview unit w/Free parking, pool, sauna, gym",Melbourne,"Melbourne CBD, Melbourne",24 external reviews,Exceptional 9.6,1,
6501,Melbourne Bourke Street Bliss,Melbourne,"Melbourne CBD, Melbourne",,,2,
6502,Lily Sands Inn,Melbourne,"South Melbourne, Melbourne",26 reviews,7.1,4,Good
6503,MY80 Apartment located in the inner of Melbourne CBD,Melbourne,"Melbourne CBD, Melbourne",104 reviews,6.6,1,Review score
6504,Townhouses by Readyset at Beach,Melbourne,"Port Melbourne, Melbourne",1 review,4.0,2,Review score
6505,Sophisticated High-Rise Living,Melbourne,"Melbourne CBD, Melbourne",15 external reviews,Exceptional 9.9,3,
6506,"2 bedroom Apartment with Pool, Gym and Rooftop",Melbourne,Melbourne,4 reviews,9.7,4,Exceptional
6507,Upstairs Studio Apartment with street access,Melbourne,"Flemington , Melbourne",33 reviews,8.6,1,Fabulous
6508,Wsp quiet apartment with free parking,Melbourne,"Melbourne CBD, Melbourne",4 external reviews,Exceptional 9.5,1,
6509,Gordon House Apartments,Melbourne,"Melbourne CBD, Melbourne",24 reviews,7.5,4,Good
6510,Glamorous 2Bdr with Hot tube in SouthMel (TF25223),Melbourne,"South Melbourne, Melbourne",1 review,10,4,Exceptional
6511,Stylish One Bedroom in CBD(LD300118),Melbourne,"Melbourne CBD, Melbourne",88 external reviews,Very good 8.3,5,
6512,Wsp advanced apartment in CBD free tram zone,Melbourne,"Melbourne CBD, Melbourne",1 review,1.0,2,Review score
6513,Sweet Home Apartment North Melbourne,Melbourne,"North Melbourne, Melbourne",48 reviews,9.3,5,Superb
6514,Sunny House - Melbourne Airport Home,Melbourne,Melbourne,357 reviews,7.6,1,Good
6515,Yara Accommodation,Melbourne,"Docklands, Melbourne",40 reviews,8.2,2,Very good
6516,Seasons Heritage Melbourne,Melbourne,"St Kilda Road, Melbourne",570 reviews,6.2,4,Review score
6517,Elegant 3 brsAPT with 2 small car space (TF750722),Melbourne,"Southbank, Melbourne",1 review,10,1,Exceptional
6518,Stylish 2Bed Apt in Central CBD (TF41052201),Melbourne,"Melbourne CBD, Melbourne",6 reviews,7.3,1,Good
6519,High Rise Unit in front of Crown with Free Parking,Melbourne,"Southbank, Melbourne",17 reviews,8.9,2,Fabulous
6520,50 Green St Windsor,Melbourne,"Chapel Street, Melbourne",19 reviews,8.3,3,Very good
6521,Stylish 2 Bedroom APT With CBD View Southbank,Melbourne,"Southbank, Melbourne",39 reviews,7.6,4,Good
6522,Seasons Botanic Gardens,Melbourne,Melbourne,"1,122 reviews",7.6,1,Good
6523,Heart CBD 2Bed with 1 FREE Car Parking(TF502B22),Melbourne,"Melbourne CBD, Melbourne",1 review,5.0,1,Review score
6524,Cosy Hideaway Gem in Middle Park,Melbourne,"Albert Park, Melbourne",28 reviews,9.0,4,Superb
6525,Balwyn 短租房,Melbourne,Melbourne,121 reviews,5.2,4,Review score
6526,Chic Urban Oasis,Melbourne,"Southbank, Melbourne",15 reviews,9.6,5,Exceptional
6527,"Southbank Serenity 2BR, FREE Parking, and Wi-Fi",Melbourne,"Southbank, Melbourne",39 reviews,7.9,5,Good
6528,"East Melbourne studio - MCG, CBD, Shops, Transport",Melbourne,"East Melbourne, Melbourne",32 external reviews,Exceptional 9.7,2,
6529,Riverfront Bliss - Walking distance to Showgrounds/Flemington Racecourse,Melbourne,Melbourne,9 external reviews,Exceptional 9.6,5,
6530,Highlander INN,Melbourne,"Melbourne CBD, Melbourne",101 reviews,5.9,1,Review score
6531,Fawkner Residence 1B2B condo Premium Netflix,Melbourne,"St Kilda Road, Melbourne",27 reviews,8.4,2,Very good
6532,1 Bed apartment in Essendon,Melbourne,Melbourne,37 reviews,7.6,4,Good
6533,Inner City Living,Melbourne,"North Melbourne, Melbourne",,,1,
6534,Top floor city 3BR amazing water views & location,Melbourne,"Docklands, Melbourne",370 external reviews,Exceptional 9.7,2,
6535,Amazing 2B2B in the heart of CBD,Melbourne,"Melbourne CBD, Melbourne",12 external reviews,Exceptional 10,3,
6536,Contemporary CBD 2b2b apt,Melbourne,"Melbourne CBD, Melbourne",29 external reviews,Exceptional 9.8,4,
6537,Entire Unit in Front of Crown w/Free Parking,Melbourne,"Southbank, Melbourne",43 external reviews,Exceptional 9.7,1,
6538,Stunning 2BR Apartment with Secure Garage,Melbourne,Melbourne,,,4,
6539,Urban Chic Retreat near Crown w/ Free Parking,Melbourne,"Southbank, Melbourne",1 review,8.0,4,Very good
6540,Exquisite Elegance & Luxury Home,Melbourne,"Brighton, Melbourne",,,5,
6541,Quest Flemington Central,Melbourne,"Flemington , Melbourne","1,304 reviews",8.3,5,Very good
6542,The Daisy House - Top convenient location,Melbourne,Melbourne,1 review,10,2,Exceptional
6543,Stunning 1 Bed at New landmark Aus 108(TF41141901),Melbourne,"Southbank, Melbourne",2 reviews,5.0,5,Review score
6544,Sea&City View Apartment,Melbourne,"Southbank, Melbourne",3 external reviews,Superb 9.3,1,
6545,KozyGuru / Abbotsford / Cosy 1Bed Apt / VAB813C,Melbourne,Melbourne,5 external reviews,Very good 8.0,2,
6546,WSP Lux 3B2B Apa Southern Cross Station,Melbourne,"Melbourne CBD, Melbourne",1 review,10,4,Exceptional
6547,Carlton Lygon Lodge,Melbourne,"Carlton, Melbourne",881 reviews,7.9,1,Good
6548,"Modern 2BR Apt nr Yarra river, Free Parking",Melbourne,"Docklands, Melbourne",6 external reviews,Exceptional 9.7,1,
6549,Modern 2 bedrooms APT in Mel CBD (TF110823),Melbourne,"Melbourne CBD, Melbourne",3 reviews,2.3,2,Review score
6550,Stylish 1 Bedroom in Collingwood(TF52622),Melbourne,"Collingwood, Melbourne",3 reviews,2.3,3,Review score
6551,Victorian Terrace in the heart of it all!,Melbourne,"East Melbourne, Melbourne",2 reviews,7.5,4,Good
6552,The Eversley - a Stylish Terrace house in Fitzroy,Melbourne,"Fitzroy, Melbourne",1 review,10,1,Exceptional
6553,2BR house close 2 melb airport,Melbourne,"Tullamarine, Melbourne",1 review,6.0,1,Review score
6554,"2BR 2 BATH, Southbank, City View, Lvl 31",Melbourne,"Southbank, Melbourne",8 reviews,8.2,4,Very good
6555,Modern 3BR In High Rise w/ Sea View incl Carpark,Melbourne,"Southbank, Melbourne",10 reviews,7.6,4,Good
6556,The Richmond Cottage,Melbourne,"Richmond, Melbourne",7 reviews,9.4,5,Superb
6557,Holiday House in Canterbury with pool,Melbourne,Melbourne,,,5,
6558,Luxe at Paris end Melbourne,Melbourne,"Melbourne CBD, Melbourne",9 reviews,9.0,2,Superb
6559,Tranquil Retreat near to Airport,Melbourne,Melbourne,14 external reviews,Exceptional 9.7,5,
6560,3BD/2BR Southern Cross + free parking,Melbourne,"Melbourne CBD, Melbourne",2 reviews,7.0,1,Good
6561,Modern 3 Bedroom Apartment with Amazing Views,Melbourne,"Southbank, Melbourne",3 reviews,10,2,Exceptional
6562,Unbeatable location!,Melbourne,"St Kilda Road, Melbourne",3 external reviews,Good 7.3,1,
6563,The One Grand Prix Living,Melbourne,Melbourne,,,2,
6564,2 beds 2 bath Apt *Free Carpark,Melbourne,"West Melbourne, Melbourne",1 review,9.0,3,Superb
6565,Fitzroy Studio central location #169,Melbourne,"Fitzroy, Melbourne",2 reviews,3.0,4,Review score
6566,Melbourne Carlton Central Apartment Hotel,Melbourne,"Carlton, Melbourne",521 reviews,7.3,1,Good
6567,Convenient location 1 bedroom apt in CBD#2913,Melbourne,"Melbourne CBD, Melbourne",1 review,8.0,1,Very good
6568,Lovely 1-bedroom holiday apt in CBD#1001,Melbourne,"Melbourne CBD, Melbourne",58 external reviews,Superb 9.3,4,
6569,Hidden gem in Melbourne city with FREE 6 car park & WiFi with large backyard,Melbourne,"Kew, Melbourne",,,4,
6570,Central location Apt China town#608,Melbourne,"Melbourne CBD, Melbourne",3 reviews,7.7,5,Good
6571,Panoramic Views Two Bedrooms in Melbourne CBD-2,Melbourne,"Melbourne CBD, Melbourne",6 reviews,8.2,5,Very good
6572,Birches Serviced Apartments,Melbourne,"East Melbourne, Melbourne",457 reviews,7.8,2,Good
6573,CBD central location 2 beds Apt#4106,Melbourne,"Melbourne CBD, Melbourne",3 reviews,8.7,5,Fabulous
6574,Maison one bedroom apartment in South Yarra,Melbourne,"South Yarra, Melbourne",1 review,1.0,1,Review score
6575,Beautiful 2 Bedrooms w Kitchen! Possible Parking.,Melbourne,"Melbourne CBD, Melbourne",1 review,1.0,2,Review score
6576,Entire House - The Charmer,Melbourne,Melbourne,14 reviews,7.4,4,Good
6577,Cheerful 2-Bedroom Home in Moonee Ponds,Melbourne,Melbourne,20 reviews,7.3,1,Good
6578,Bunny’s Sweet Home,Melbourne,"Carlton, Melbourne",14 reviews,8.9,1,Fabulous
6579,Stylish St. Kilda Apartment,Melbourne,"St Kilda, Melbourne",2 reviews,9.0,2,Superb
6580,The Rooftop,Melbourne,"Elwood, Melbourne",5 external reviews,Good 7.2,3,
6581,Bayside Melbourne Apartment,Melbourne,"Port Melbourne, Melbourne",8 reviews,9.1,4,Superb
6582,Mega Style Apartments South Melbourne Townhouse,Melbourne,"South Melbourne, Melbourne",3 reviews,4.0,1,Review score
6583,Spacious 2BR Central City Living,Melbourne,"Melbourne CBD, Melbourne",2 reviews,6.5,1,Review score
6584,Comfy unit in front of Crown w/ Free Parking,Melbourne,"Southbank, Melbourne",8 reviews,9.9,4,Exceptional
6585,Cozy unit close to Parliament w/Amazing City Views,Melbourne,"Melbourne CBD, Melbourne",2 reviews,9.0,4,Superb
6586,Shadow Play Apartment,Melbourne,"Southbank, Melbourne",28 reviews,7.1,5,Good
6587,Luxury Modern Southbank apartment with free parking,Melbourne,"Southbank, Melbourne",8 reviews,7.0,2,Good
6588,Charming King beds Period Villa with Amazing rumpus and outdoor chimnea in inner east city,Melbourne,Melbourne,12 reviews,7.8,5,Good
6589,Super Luxury 2 bedroom Apt Well Furnished with Marvellous Views Convenient Location 1 Free Parking,Melbourne,"Melbourne CBD, Melbourne",15 reviews,8.7,1,Fabulous
6590,NEWLY RENOVATED LARGE 3.5 BDRM HOUSE! BEST OF MELB,Melbourne,"St Kilda, Melbourne",2 reviews,9.5,2,Exceptional
6591,Caroline Serviced Apartments Brighton,Melbourne,"Brighton, Melbourne",770 reviews,8.6,4,Fabulous
6592,Beautiful 2 Bedrooms w Kitchen & Carpark,Melbourne,"North Melbourne, Melbourne",5 reviews,6.6,1,Review score
6593,Readyset Apartment at Jane Bell,Melbourne,"Melbourne CBD, Melbourne",11 external reviews,Very good 8.0,2,
6594,Light filled grand family with return veranda,Melbourne,"South Yarra, Melbourne",,,3,
6595,A stunning kitchen featuring marble bench tops,Melbourne,Melbourne,,,4,
6596,Exclusive Stays - Southbank Grand,Melbourne,"Southbank, Melbourne",7 reviews,8.6,1,Fabulous
6597,Mantra on Russell,Melbourne,"Melbourne CBD, Melbourne","1,792 reviews",8.3,1,Very good
6598,Kallara House - large family home (sleeps 12) with awesome cinema room,Melbourne,Melbourne,9 reviews,8.9,4,Fabulous
6599,Located a few metres from Brighton beach,Melbourne,"Brighton, Melbourne",,,4,
6600,Close to Melb Airport Self contained large 2BR apartment,Melbourne,Melbourne,18 reviews,8.6,5,Fabulous
6601,Cozy unit close to Parliament w/Amazing City Views,Melbourne,"Melbourne CBD, Melbourne",64 external reviews,Exceptional 9.8,5,
6602,Carlton Stunning View Apartment 150m away from University of Melbourne,Melbourne,"Carlton, Melbourne",28 reviews,8.6,2,Fabulous
6603,Comfy unit in front of Crown with Free Parking,Melbourne,"Southbank, Melbourne",3 reviews,9.0,5,Superb
6604,Entire 4 Bedroom Townhouse -sleeps 6/7- All yours,Melbourne,Melbourne,29 reviews,7.8,1,Good
6605,Modern 2 Beds Apartment with Amazing City View,Melbourne,"South Melbourne, Melbourne",28 reviews,8.7,2,Fabulous
6606,New modern 3 bedroom apartment in St Kilda East,Melbourne,Melbourne,7 reviews,9.6,4,Exceptional
6607,Readyset Apartments at Dockside,Melbourne,"Melbourne CBD, Melbourne",4 reviews,3.8,1,Review score
6608,Exclusive Stays - Prima Penthouse,Melbourne,"Southbank, Melbourne",14 external reviews,Exceptional 10,1,
6609,Corporate Share House,Melbourne,"Tullamarine, Melbourne",1 review,10,2,Exceptional
6610,Entire new and stylish one bedroom apartment,Melbourne,"Albert Park, Melbourne",1 review,7.0,3,Good
6611,Readyset Apartments at Empire,Melbourne,"Melbourne CBD, Melbourne",9 reviews,5.6,4,Review score
6612,Readyset Apartments at Verve,Melbourne,"Melbourne CBD, Melbourne",10 reviews,6.6,1,Review score
6613,Extraordinary holiday stay for Melbourne explore,Melbourne,"Southbank, Melbourne",38 reviews,9.4,4,Superb
6614,Readyset Apartments at Vision,Melbourne,"Melbourne CBD, Melbourne",8 reviews,6.5,4,Review score
6615,Luxury Penthouse with Astonishing Bay and City Views,Melbourne,"South Melbourne, Melbourne",29 reviews,9.9,5,Exceptional
6616,Aura on Flinders Serviced Apartments,Melbourne,"Melbourne CBD, Melbourne","3,846 reviews",7.7,5,Good
6617,Australia108 stylish apartments Southbank LaMaison,Melbourne,"Southbank, Melbourne",27 reviews,6.4,2,Review score
6618,St Kilda Rd LVL4 2BDR2BATHR WIFI Albert Park,Melbourne,Melbourne,14 reviews,7.3,5,Good
6619,Exclusive Stays - SouthbankONE Penthouse,Melbourne,"Southbank, Melbourne",10 reviews,7.9,1,Good
