SNO,HOTEL NAME,ROOM TYPE ,SINGLE BED,DOUBLE BED,PRICES,,,,
7985,Rembrandt Style Tokyo Nishikasai,Room Selected at Check-In,YES,YES,"₹ 10,628",,,,
7986,Super Hotel Premier Akasaka,Double Room with Small Double Bed - Non-Smoking,YES,NO,"₹ 8,551",,,,
7987,APA Hotel Tsukiji-eki Minami,Two-Bedroom Apartment,NO,NO,"₹ 11,105",,,,
7988,Ueno正和ビル,Twin Room - Non-Smoking,NO,YES,"₹ 8,606",,,,
7989,Belmont Hotel,Standard Family Room,YES,YES,"₹ 9,991",,,,
7990,OTHER SPACE Hotelー HOTEL K3 asakusaー,Double Room with Small Double Bed - Smoking,YES,YES,"₹ 6,410",,,,
7991,HOTEL LiVEMAX Asakusabashi-Eki Kitaguchi,Double Room - Non-Smoking,YES,YES,"₹ 8,884",,,,
7992,Sotetsu Fresa Inn Tokyo Kanda,Small Double Room with Shared Shower and Toilet,YES,NO,"₹ 6,996",,,,
7993,plat hostel keikyu asakusa karin,Economy Double Room,NO,NO,"₹ 8,395",,,,
7994,Sakura Cross Hotel Akihabara,Double Room,NO,YES,"₹ 8,519",,,,
7995,Best Western Hotel Fino Tokyo Akihabara,Economy Double Room,YES,YES,"₹ 5,240",,,,
7996,Ai Hotel Keikyu Kamata-ekimae,Mixed Dormitory Room,YES,YES,"₹ 3,776",,,,
7997,和貴ビル,Standard Double Room - Non-Smoking,YES,YES,"₹ 10,322",,,,
7998,Sotetsu Grand Fresa Tokyo-Bay Ariake,Standard Double Room - Non-Smoking,YES,NO,"₹ 12,049",,,,
7999,APA Hotel Shinjuku Kabukicho Chuo,【Short Stay】Room Selected at Check-In (17:00 Check in) - Non-Smoking,NO,NO,"₹ 6,163",,,,
8000,Hotel Villa Fontaine Tokyo-Ueno Okachimachi,Comfort King Room,NO,YES,"₹ 15,242",,,,
8001,Miyako City Tokyo Takanawa,Compact Twin Room,YES,YES,"₹ 8,556",,,,
8002,ICI HOTEL Tokyo Hatchobori,Double Room - Smoking,YES,YES,"₹ 9,884",,,,
8003,APA Hotel Akihabara-Ekimae,Double Room with Lake View and City View - Smoking,YES,YES,"₹ 9,328",,,,
8004,APA Hotel Keisei Ueno Ekimae,Moderate Double Room - Non-Smoking,YES,NO,"₹ 14,970",,,,
8005,the square hotel GINZA,Economy Twin Room,NO,NO,"₹ 19,423",,,,
8006,Haneda Excel Hotel Tokyu,Economy Private Room with Bunk Beds / Shared Bathroom,NO,YES,"₹ 8,991",,,,
8007,The Share Hotels Lyuro Tokyo Kiyosumi,Double Room with Small Double Bed,YES,YES,"₹ 3,054",,,,
8008,Hotel Meigetsu,Twin Room,YES,YES,"₹ 6,663",,,,
8009,Miyako Shinjuku Hotel 都-新宿-,Standard Two Capsule Rooms for Male,YES,YES,"₹ 7,635",,,,
8010,安心お宿 新橋駅前店-男性専用,Standard Double Room - Non-Smoking,YES,NO,"₹ 10,370",,,,
8011,HOTEL SUI KANDA by ABEST,Double Room - Non-Smoking,NO,NO,"₹ 10,550",,,,
8012,APA Hotel Higashi-Shinjuku-Ekimae,Superior King Room - Non-Smoking,NO,YES,"₹ 14,992",,,,
8013,Agora Tokyo Ginza,Standard Twin Room,YES,YES,"₹ 9,439",,,,
8014,Outlet Hotel UenoEkimae,Economy Double Room,YES,YES,"₹ 4,148",,,,
8015,HOTEL CHECK INN BALI adult only,Deluxe Double Room,YES,YES,"₹ 6,108",,,,
8016,Super Hotel Tokyo Akabane Eki Minamiguchi,Standard Double Room - Non Smoking,YES,NO,"₹ 8,551",,,,
8017,Centurion Hotel Residential Akasaka Station,Small Double Room,NO,NO,"₹ 12,849",,,,
8018,Tokyu Stay Nishi Shinjuku,Japanese Twin Room - Non-Smoking,NO,YES,"₹ 5,557",,,,
8019,Hotel Wing International Select Asakusa Komagata,Standard Double Room with No Window - Non-Smoking,YES,YES,"₹ 8,301",,,,
8020,Richmond Hotel Tokyo Mejiro,Double Room - Non-Smoking,YES,YES,"₹ 10,194",,,,
8021,APA Hotel Shimbashi Toranomon,Twin Room,YES,YES,"₹ 4,997",,,,
8022,Ano Hotel Asakusa,Economy Double Room,YES,NO,"₹ 8,162",,,,
8023,Hotel Coco Grand Kitasenju,Economy Double Room,NO,NO,"₹ 8,609",,,,
8024,Rembrandt Style Tokyo Nishikasai Grande,Superior Double Room - Smoking,NO,YES,"₹ 7,329",,,,
8025,Hotel Wing International Ikebukuro,Double Room,YES,YES,"₹ 5,397",,,,
8026,Restay Frontier (Adult Only),Standard Double Room - Non-Smoking,YES,YES,"₹ 19,939",,,,
8027,Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,Double Room with Small Double Bed - Smoking,YES,YES,"₹ 5,553",,,,
8028,Tabist Hotel Mercury Asakusabashi,Double Room with Small Double Bed - Room Only - Non-Smoking,YES,NO,"₹ 7,218",,,,
8029,APA Hotel Akihabaraeki-Denkigaiguchi,Standard Twin Room,NO,NO,"₹ 8,829",,,,
8030,Tabist Ginza,Single Room,NO,YES,"₹ 16,358",,,,
8031,Shizutetsu Hotel Prezio Tokyo Tamachi,Super Room - Non-Smoking,YES,YES,"₹ 8,157",,,,
8032,Super Hotel Tokyo JR Kamata Nishiguchi,Small Double Room - Non-Smoking Only,YES,YES,"₹ 5,830",,,,
8033,Smile Hotel Tokyo Asagaya,Double Room with Shared Bathroom A,YES,YES,"₹ 6,874",,,,
8034,Ryokan Katsutaro,Superior Twin Room,YES,NO,"₹ 32,177",,,,
8035,Pullman Tokyo Tamachi,Double Room with Small Double Bed Non-Smoking,NO,NO,"₹ 7,357",,,,
8036,Hotel Route-Inn Tokyo Ikebukuro,Standard Double Room with Small Double Bed - Non-Smoking,NO,YES,"₹ 7,774",,,,
8037,Hotel Mystays Gotanda Station,Double Room - Non Smoking,YES,YES,"₹ 15,080",,,,
8038,remm plus Ginza,Twin Room,YES,YES,"₹ 9,182",,,,
8039,新宿サンパークホテル,Standard Double Room,YES,YES,"₹ 10,415",,,,
8040,hotel MONday Premium TOYOSU,Standard Double Room,YES,NO,"₹ 6,219",,,,
8041,HOTEL DCUBE,Standard Double Room - Smoking,NO,NO,"₹ 6,530",,,,
8042,ART HOTEL Nippori Lungwood,Two-Bedroom Apartment,NO,YES,"₹ 15,825",,,,
8043,M Ikebukuro Apartment 101,Casual Double Room - Smoking,YES,YES,"₹ 14,992",,,,
8044,Hotel Keihan Tsukiji Ginza Grande,Double Room with Small Double Bed - Non-Smoking,YES,YES,"₹ 8,162",,,,
8045,Henn na Hotel Tokyo Akasaka,Economy Double Room - Non-Smoking,YES,YES,"₹ 16,658",,,,
8046,Hotel Monterey Ginza,Double Room with Small Double Bed - Non-Smoking,YES,NO,"₹ 5,275",,,,
8047,Tabist Urban Stays Asakusa,Double Room,NO,NO,"₹ 5,497",,,,
8048,Hotel P'sResort 大人専用,Double Room with Small Double Bed - Non-Smoking,NO,YES,"₹ 15,112",,,,
8049,Hotel Intergate Tokyo Kyobashi,17㎡ Superior Queen Room - Non-Smoking,YES,YES,"₹ 12,743",,,,
8050,THE KNOT TOKYO Shinjuku,Standard Double Room - Smoking,YES,YES,"₹ 10,847",,,,
8051,Richmond Hotel Premier Asakusa International,Twin Room with Two Twin Beds,YES,YES,"₹ 18,323",,,,
8052,MOXY Tokyo Kinshicho,Double Room - Non-Smoking,YES,NO,"₹ 6,347",,,,
8053,APA Hotel Nihombashi Bakurocho Ekimae,Twin Room,NO,NO,"₹ 5,275",,,,
8054,Tabist Hotel Momiji Asakusa,Double Room,NO,YES,"₹ 17,102",,,,
8055,the b ginza,Economy Double Room - Non-Smoking,YES,YES,"₹ 16,965",,,,
8056,Hotel Sunroute Plaza Shinjuku,Standard Queen,YES,YES,"₹ 11,993",,,,
8057,KAIKA TOKYO by THE SHARE HOTELS,【Short Stay】Double Room - Non-Smoking (17:00 Check in),YES,YES,"₹ 6,152",,,,
8058,Hotel Villa Fontaine Tokyo-Kudanshita,Double Room - Non-Smoking,YES,NO,"₹ 11,771",,,,
8059,Bay Hotel Tokyo Hamamatsucho,Quadruple Room,NO,NO,"₹ 3,054",,,,
8060,Enzo Tokyo,Semi Double Room - Non-Smoking,NO,YES,"₹ 9,065",,,,
8061,Sotetsu Fresa Inn Ueno-Okachimachi,Double Room with Small Double Bed - Female Only - Non-Smoking,YES,YES,"₹ 8,218",,,,
8062,Tosei Hotel Cocone Kanda,Superior Double Room,YES,YES,"₹ 5,441",,,,
8063,HOTEL REFRAIN,Double Room with Small Double Bed - Non-Smoking,YES,YES,"₹ 4,837",,,,
8064,HOTEL LiVEMAX Tokyo Ayase-Ekimae,Double Room - Non-Smoking,YES,NO,"₹ 11,363",,,,
8065,Hotel Amanek Ginza East,Double Room - Non-Smoking,NO,NO,"₹ 8,440",,,,
8066,Tosei Hotel Cocone Ueno,Special Offer - 2 Capsule Rooms for Female - Non-Smoking,NO,YES,"₹ 5,997",,,,
8067,nine hours woman Kanda,Single Room,YES,YES,"₹ 6,528",,,,
8068,HOTEL LiVEMAX Kamata Ekimae,Standard Double Room,YES,YES,"₹ 4,164",,,,
8069,Hotel Mju-Adult Only,Double Room - Smoking,YES,YES,"₹ 7,046",,,,
8070,APA Hotel Iidabashi-Eki Minami,One-Bedroom Apartment,YES,NO,"₹ 3,669",,,,
8071,Fujiterrace Yoga,Two-Bedroom Villa,NO,NO,"₹ 8,773",,,,
8072,貸切 2部屋5名可能 駅近い徒歩6分 秋葉原 新宿 鎌倉へ直通 スカイツリー ディズニーランド近く 悠悠之家,Economy Double Room,NO,YES,"₹ 3,508",,,,
8073,Business Hotel La Firenze,Double Room with Extra Bed,YES,YES,"₹ 7,218",,,,
8074,Petit Grande Miyabi,Twin Room - Bay Side,YES,YES,"₹ 11,365",,,,
8075,La Vista Tokyo Bay,Double Room with Small Double Bed with Shower,YES,YES,"₹ 10,439",,,,
8076,Hotel Kazusaya,Double  Room,YES,NO,"₹ 6,830",,,,
8077,Hotel Emit Ueno,Japanese-Style Room,NO,NO,"₹ 4,997",,,,
8078,Okubo Hotel Hawaii,Standard Twin Room,NO,YES,"₹ 3,498",,,,
8079,Rhodes Otsuka Hotel,Double Room - Non-Smoking,YES,YES,"₹ 4,198",,,,
8080,Hotel Trend Asakusa Tawaramachi,Double Room with Small Double Bed - Smoking,YES,YES,"₹ 7,478",,,,
8081,HOTEL LiVEMAX Akasaka GRANDE,Double Room - Non-Smoking,YES,YES,"₹ 11,327",,,,
8082,Richmond Hotel Asakusa,One-Bedroom Apartment,YES,NO,"₹ 4,225",,,,
8083,Laluna Higashiikebukuro,Special Offer - 2 Capsule Rooms for Male - Non-Smoking,NO,NO,"₹ 5,497",,,,
8084,do-c Ebisu,Double Room,NO,YES,"₹ 4,886",,,,
8085,Hotel Trend Tobu Asakusa-Eki Kita,Two-Bedroom Apartment,YES,YES,"₹ 10,313",,,,
8086,aLATO Kinshicho,Double Room - Non-Smoking,YES,YES,"₹ 13,881",,,,
8087,Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,Apartment,YES,YES,"₹ 6,385",,,,
8088,Rhodes Otsuka - Vacation STAY 13666v,Double Room - Non-Smoking,YES,NO,"₹ 9,828",,,,
8089,APA Hotel Higashi Shinjuku Kabukicho,Standard Double Room - Smoking,NO,NO,"₹ 12,771",,,,
8090,Meguroholic Hotel,Double Room,NO,YES,"₹ 8,495",,,,
8091,APA Hotel & Resort Roppongi-Eki-Higashi,Premium Quality Room Semi Double - Non-Smoking,YES,YES,"₹ 8,884",,,,
8092,New Otani Inn Tokyo,Apartment,YES,YES,"₹ 3,498",,,,
8093,Rhodes Otsuka - Vacation STAY 33199v,Superior Double Room - Non-Smoking,YES,YES,"₹ 16,658",,,,
8094,Sotetsu Fresa Inn Shimbashi Hibiyaguchi,Double Room - Non-Smoking,YES,NO,"₹ 7,052",,,,
8095,Super Hotel Shinagawa Shinbanba,Small Double Room,NO,NO,"₹ 6,291",,,,
8096,Daiichi Inn Ikebukuro,Standard Double Room - Non-Smoking,NO,YES,"₹ 6,472",,,,
8097,Hotel Il Fiore Kasai,Semi Double Room,YES,YES,"₹ 6,663",,,,
8098,Hotel Listel Shinjuku,Japanese-Style Room - Non-Smoking,YES,YES,"₹ 12,093",,,,
8099,Ochanomizu Hotel Shoryukan,Room Selected at Check-In,YES,YES,"₹ 7,300",,,,
8100,Tosei Hotel Cocone Asakusa Kuramae,Moderate Double Room,YES,NO,"₹ 19,240",,,,
8101,Mitsui Garden Hotel Nihonbashi Premier,Standard Apartment,NO,NO,"₹ 6,885",,,,
8102,Minn Machiya,Apartment,NO,YES,"₹ 4,720",,,,
8103,Rhodes Otsuka - Vacation STAY 33215v,Economy Double Room,YES,YES,"₹ 4,697",,,,
8104,The Light Inn Tokyo,【Short Stay】Room Selected at Check-In (17:00 Check in),YES,YES,"₹ 9,517",,,,
8105,Hotel Villa Fontaine Grand Tokyo-Tamachi,Double Room,YES,YES,"₹ 8,218",,,,
8106,C＆Jホテル,Moderate Double Room - Non Smoking,YES,NO,"₹ 9,864",,,,
8107,Dai-ichi Hotel Ryogoku,Moderate Twin Room Non-Smoking,NO,NO,"₹ 15,592",,,,
8108,Mitsui Garden Hotel Shiodome Italia-gai - Tokyo,Moderate Room - Non-Smoking,NO,YES,"₹ 21,988",,,,
8109,Mitsui Garden Hotel Ginza Premier,Double Room - Non-Smoking,YES,YES,"₹ 10,075",,,,
8110,Super Hotel Premier Akihabara,Economy Double Room - Non-Smoking,YES,YES,"₹ 14,437",,,,
8111,Wander Tokyo Shibuya,Economy Double Room,YES,YES,"₹ 5,431",,,,
8112,&AND HOSTEL MINAMISENJU,【Short Stay】Double Room - Non-Smoking - Annex (17:00 Check in),YES,NO,"₹ 5,863",,,,
8113,Hotel Villa Fontaine Tokyo-Kayabacho,Economy Semi-Double - Non-Smoking,NO,NO,"₹ 5,219",,,,
8114,HOTEL MYSTAYS Kamata,Double or Twin Room,NO,YES,"₹ 4,886",,,,
8115,Hotel Belle Via Tokyo,Standard Double Room,YES,YES,"₹ 3,898",,,,
8116,HOTEL WAKO Tokyo Tree View,Apartment,YES,YES,"₹ 4,442",,,,
8117,Tokyo Sakura hotel,One-Bedroom Apartment,YES,YES,"₹ 5,997",,,,
8118,SC Heights 106,Double Room,YES,NO,"₹ 6,996",,,,
8119,Nagomi Hotel Nippori,Single Room - Non-Smoking,NO,NO,"₹ 9,389",,,,
8120,Via Inn Prime Akasaka,Standard Hollywood Twin Room - Non-Smoking,NO,YES,"₹ 13,639",,,,
8121,The Gate Hotel Ryogoku by Hulic,Economy Double Room,YES,YES,"₹ 4,442",,,,
8122,Hotel Bianca Due (Adult Only),Japanese-Style Twin Room - Non-Smoking,YES,YES,"₹ 14,242",,,,
8123,Dormy Inn Premium Tokyo Kodenmacho,Superior Double,YES,YES,"₹ 50,139",,,,
8124,Imperial Hotel Tokyo,Double Room with Small Double Bed - Non-Smoking,YES,NO,"₹ 6,181",,,,
8125,Smile Hotel Sugamo,Deluxe Double Room,NO,NO,"₹ 4,442",,,,
8126,Tabist Hotel Florida Ikebukuro,Double Room,NO,YES,"₹ 4,275",,,,
8127,Tabist Hotel Aurora Ikebukuro,One-Bedroom Apartment,YES,YES,"₹ 7,646",,,,
8128,10min walk to Shinjuku YoW3,Comfort Double Room - Non-Smoking,YES,YES,"₹ 23,987",,,,
8129,Mitsui Garden Hotel Toyosu Premier - Tokyo,Apartment with Balcony,YES,YES,"₹ 5,597",,,,
8130,Hotel Hotel Ryogoku,Double Room,YES,NO,"₹ 6,191",,,,
8131,Urbain Tokyo Ueno Kitasenju,【Short Stay】Double Room - Non-Smoking (17:00 Check in),NO,NO,"₹ 5,553",,,,
8132,Hotel Villa Fontaine Tokyo-Nihombashi Hakozaki,Standard Twin Room,NO,YES,"₹ 6,663",,,,
8133,Beagle Tokyo Hostel＆Apartments,Double Room with Loft - Non-Smoking,YES,YES,"₹ 12,771",,,,
8134,Super Hotel Premier Tokyo Station Yaesu-Chuoguchi,Standard Double Room with Private Bathroom,YES,YES,"₹ 5,905",,,,
8135,Sakura Hotel Ikebukuro,Room Selected at Check In - Non Smoking,YES,YES,"₹ 13,303",,,,
8136,Hotel Villa Fontaine Grand Tokyo-Roppongi,Double Room - Non-Smoking,YES,NO,"₹ 12,702",,,,
8137,Sanco Inn Grande Tokyo Hamamatsucho,Twin Room - Non-Smoking,NO,NO,"₹ 14,859",,,,
8138,Hotel Monterey Lasoeur Ginza,Double Room,NO,YES,"₹ 4,797",,,,
8139,plat hostel keikyu minowa forest,2 Deluxe Capsule Rooms for Male,YES,YES,"₹ 7,218",,,,
8140,Capsule Hotel Anshin Oyado Ogikubo-Male Only-,Standard Double or Twin Room,YES,YES,"₹ 10,472",,,,
8141,Sotetsu Fresa Inn Daimon,Small Double Room,YES,YES,"₹ 5,997",,,,
8142,Hotel Moana Otsuka (Adult Only),Moderate (with balcony),YES,NO,"₹ 22,654",,,,
8143,Mitsui Garden Hotel Jingugaien Tokyo Premier,Double Room,NO,NO,"₹ 6,397",,,,
8144,神田ステーションホテル,Economy Twin Room,NO,YES,"₹ 4,081",,,,
8145,ZAITO Tokyo Kinshicho Economy Inn 宅东东京横川1民宿,Family Room with Shared Bathroom,YES,YES,"₹ 8,946",,,,
8146,Imano Tokyo Hostel,Hollywood Twin Room - Non-Smoking,YES,YES,"₹ 14,559",,,,
8147,TOKYO EAST SIDE HOTEL KAIE,Deluxe Twin Room,YES,YES,"₹ 7,774",,,,
8148,Residence Condominium KALAHAAI,Standard Semi-Double Room - Non Smoking,YES,NO,"₹ 6,608",,,,
8149,Centurion Hotel Ikebukuro Station,Japanese-Style Twin Room,NO,NO,"₹ 4,664",,,,
8150,Taito Ryokan,One-Bedroom Apartment,NO,YES,"₹ 7,912",,,,
8151,Shinokubo nini room 101,Double Room - Smoking,YES,YES,"₹ 10,094",,,,
8152,Keio Presso Inn Nihonbashi Kayabacho,Small Double Room,YES,YES,"₹ 5,364",,,,
8153,Tokyo City View Hotel Tabata Station,Room with Double Bed and Bunk Bed - Non-Smoking,YES,YES,"₹ 6,663",,,,
8154,Super Hotel Tokyo Akabane,Double Room - Non-Smoking,YES,NO,"₹ 7,696",,,,
8155,APA Hotel Tokyo Kudanshita,【Short Stay】Room Selected at Check In (17:00 Check in),NO,NO,"₹ 9,573",,,,
8156,Hotel Villa Fontaine Tokyo-Otemachi,Economy Twin Room,NO,YES,"₹ 5,553",,,,
8157,Hotel Emir,Apartment,YES,YES,"₹ 24,898",,,,
8158,Ikken House,Twin Room - Non-Smoking,YES,YES,"₹ 5,441",,,,
8159,Hotel Kizankan,Deluxe Double Room - Non-Smoking,YES,YES,"₹ 16,041",,,,
8160,Hotel Wing International Premium Shibuya,Double Room with Small Double Bed (2F-9F) - Non-Smoking,YES,NO,"₹ 8,773",,,,
8161,Urbain Tokyo Haneda Kamata,Double Room with Small Double Bed - Non-Smoking,NO,NO,"₹ 12,895",,,,
8162,remm Roppongi,Economy Twin Room,NO,YES,"₹ 7,463",,,,
8163,Sakura Hostel Asakusa,Standard Double Room,YES,YES,"₹ 5,497",,,,
8164,Ueno Woo Hotel,Superior Double Room - Non-Smoking,YES,YES,"₹ 11,520",,,,
8165,Tokyu Stay Tsukiji,Double Room,YES,YES,"₹ 18,812",,,,
8166,Citadines Central Shinjuku Tokyo,Twin Room,YES,NO,"₹ 4,886",,,,
8167,Tokyo Central Youth Hostel,Room Selected at Check-In,NO,NO,"₹ 6,596",,,,
8168,Tosei Hotel Cocone Asakusa,One-Bedroom Apartment,NO,YES,"₹ 7,333",,,,
8169,Livecasa Ryogoku I,Japanese-Style Quadruple Room with Shared Shower Room,YES,YES,"₹ 7,696",,,,
8170,Ito Ryokan,Moderate Double Room - Non-Smoking,YES,YES,"₹ 28,107",,,,
8171,Hotel The Celestine Tokyo Shiba,Room Selected at Check-In,YES,YES,"₹ 8,955",,,,
8172,Super Hotel Premier Ikebukuro Natural Hot Spring,Twin Room with Sofa Bed,YES,NO,"₹ 15,381",,,,
8173,OMO3 Asakusa by Hoshino Resorts,Superior Queen Room - Non-Smoking (Check in 18:00-Check out 09:00),NO,NO,"₹ 10,039",,,,
8174,Hotel Villa Fontaine Grand Tokyo-Shiodome,Apartment,NO,YES,"₹ 17,241",,,,
8175,Sen no Rikyu Mansion - Vacation STAY 15485,【Short Stay】Room Selected at Check-In (17:00 Check in),YES,YES,"₹ 8,007",,,,
8176,Hotel Villa Fontaine Tokyo-hatchobori,One-Bedroom Apartment,YES,YES,"₹ 3,758",,,,
8177,VILLETTINA ASAKUSA,Double Room with Small Double Bed - Non-Smoking,YES,YES,"₹ 8,595",,,,
8178,Hotel New Ueno,Budget Double Room,YES,NO,"₹ 6,603",,,,
8179,Artsy Inn東日本橋,Standard Double Room,NO,NO,"₹ 7,046",,,,
8180,APA Hotel Komagome Ekimae,Family Room,NO,YES,"₹ 11,993",,,,
8181,Minn Ueno-Iriya,Comfort Twin Room,YES,YES,"₹ 11,007",,,,
8182,Tokyu Stay Shinjuku Eastside,Room Selected at Check-In - Smoking,YES,YES,"₹ 18,629",,,,
8183,Daiwa Roynet Hotel Ginza PREMIER,Economy Double Room,YES,YES,"₹ 6,746",,,,
8184,HOTEL Q,Twin Room with Sofa Bed - Non-Smoking,YES,NO,"₹ 18,536",,,,
8185,Shibuya Tobu Hotel,Small Double Room - Non-Smoking,NO,NO,"₹ 9,075",,,,
8186,Sotetsu Fresa Inn Nihombashi-Ningyocho,Double Room with Small Double Bed - Smoking,NO,YES,"₹ 5,997",,,,
8187,APA Hotel Kamataeki-Higashi,Deluxe Suite with Spa Bath,YES,YES,"₹ 11,105",,,,
8188,Randor Residence Tokyo Suites,Double Room - Smoking,YES,YES,"₹ 7,046",,,,
8189,APA Hotel Nihombashi Bakurocho Eki-Kita,Double Room,YES,YES,"₹ 5,441",,,,
8190,Rhodes Kagurazaka,Female Dormitory Room,YES,NO,"₹ 6,885",,,,
8191,UNPLAN Shinjuku,Double Room - Non-Smoking,NO,NO,"₹ 10,550",,,,
8192,APA Hotel Roppongi Ekimae,Superior King Room,NO,YES,"₹ 29,928",,,,
8193,Sheraton Miyako Hotel Tokyo,Double Room,YES,YES,"₹ 10,050",,,,
8194,Smile Hotel Shinagawasengakujiekimae,Economy Double Room,YES,YES,"₹ 5,205",,,,
8195,Hotel Plaisir Akihabara,Standard Twin Room,YES,YES,"₹ 4,997",,,,
8196,浅草吉居ASAKUSA YOSHII,Double Room - Non-Smoking,YES,NO,"₹ 8,606",,,,
8197,Grand Central Hotel,Double Room - Non-Smoking,NO,NO,"₹ 11,549",,,,
8198,Sotetsu Fresa Inn Higashi Shinjuku,Double Room,NO,YES,"₹ 7,241",,,,
8199,&AND HOSTEL ASAKUSA KAPPABASHI,Small Double Room - Non-Smoking,YES,YES,"₹ 13,881",,,,
8200,Hotel Sardonyx Tokyo,Double Room with Small Double Bed - Smoking,YES,YES,"₹ 6,410",,,,
8201,HOTEL LiVEMAX Nihonbashi Koamicho,Standard Twin Room - Non-Smoking,YES,YES,"₹ 17,850",,,,
8202,Prince Smart Inn Ebisu,One-Bedroom Apartment,YES,NO,"₹ 3,530",,,,
8203,Repure Higashimukojima Ekimae Residence II,Economy Double Room - Non-Smoking,NO,NO,"₹ 5,830",,,,
8204,Toyoko Inn Tokyo Yamanote sen Otsuka eki Kita guchi No 2,Two-Bedroom Apartment,NO,YES,"₹ 14,770",,,,
8205,M Ikebukuro Apartment 107,Double Room with Private Bathroom,YES,YES,"₹ 4,720",,,,
8206,HEISIEI HOUSE Shin-Ōkubo FREE WIFI,Twin Room,YES,YES,"₹ 5,192",,,,
8207,Kimi Ryokan,Twin Room with City View,YES,YES,"₹ 9,940",,,,
8208,Stay SAKURA Tokyo Asakusa Yokozuna Hotel,Deluxe Double Room,YES,NO,"₹ 6,663",,,,
8209,ビジネスカプセルホテル Lightning Hotel浅草,Double or Twin Room with Shared Bathroom,NO,NO,"₹ 5,637",,,,
8210,シンユアンハウス,Loft,NO,YES,"₹ 5,930",,,,
8211,LARK OKUBO Free wifi,Standard Twin Room,YES,YES,"₹ 6,971",,,,
8212,"Far East Village Hotel Tokyo, Asakusa",One-Bedroom Apartment,YES,YES,"₹ 6,857",,,,
8213,Shinokubo nini room 105,standard Twin Room with City View - Non-Smoking,YES,YES,"₹ 21,347",,,,
8214,Asakusa View Hotel,Japanese-Style Family Room with Shared Bathroom,YES,NO,"₹ 9,162",,,,
8215,Ryokan Sansuiso,Economy Double Room - Non-Smoking,NO,NO,"₹ 11,594",,,,
8216,Nest Hotel Tokyo Hanzomon,Double Room - Non-Smoking,NO,YES,"₹ 16,866",,,,
8217,Dormy Inn Express Meguro Aobadai Hot Spring,Moderate Double Room with Small Double Bed - Non-Smoking,YES,YES,"₹ 17,411",,,,
8218,Tokyu Stay Ginza,Double Room,YES,YES,"₹ 5,497",,,,
8219,Hotel PRINCESS2 大人専用,Double Room - Non-Smoking,YES,YES,"₹ 8,773",,,,
8220,Smile Hotel Nihombashi Mitsukoshimae,Double Room with Small Double Bed - Non-Smoking,YES,NO,"₹ 6,885",,,,
8221,Keio Presso Inn Ikebukuro,One-Bedroom Apartment,NO,NO,"₹ 4,442",,,,
8222,新規オープン・新宿駅2キロ圏内・築3年デザイナーズマンション,Standard Double Room,NO,YES,"₹ 7,440",,,,
8223,unito SHIODOME,Double Room with Small Double Bed - Non-Smoking,YES,YES,"₹ 6,926",,,,
8224,Ueno First City Hotel,Twin Room with Bathroom,YES,YES,"₹ 4,442",,,,
8225,GreenHotel,Double Room with Small Double Bed with Bathroom - Smoking,YES,YES,"₹ 6,468",,,,
8226,HOTEL LiVEMAX Asakusa Sky Front,Economy Double Room - Non-Smoking,YES,NO,"₹ 8,218",,,,
8227,Ochanomizu Inn,Double Room,NO,NO,"₹ 13,881",,,,
8228,N Plus Hotel Akihabara,Economy Double Room - Smoking,NO,YES,"₹ 4,498",,,,
8229,Cypressinn Tokyo,Standard Double Room,YES,YES,"₹ 4,609",,,,
8230,Hotel New Takada,Standard Quadruple Room,YES,YES,"₹ 6,596",,,,
8231,Tokyo SA Ryokan,Deluxe Queen Room,YES,YES,"₹ 13,493",,,,
8232,HOTEL VARKIN Ikebukuro Nishiguchi,Standard Double Room - Non-Smoking,YES,NO,"₹ 15,575",,,,
8233,Act Hotel Roppongi,Double Room with Small Double Bed - Non-Smoking,NO,NO,"₹ 7,196",,,,
8234,Hotel Resol Ikebukuro,Private Room with Bunk Beds (2 Adults),NO,YES,"₹ 11,327",,,,
8235,sequence SUIDOBASHI - Tokyo,One-Bedroom Apartment,YES,YES,"₹ 6,673",,,,
8236,Tokyo Asakusa New Condo Sensoji-6min 2ppl,Superior Double Room with Shared Bathroom,YES,YES,"₹ 7,759",,,,
8237,"&AND HOSTEL KURAMAE WEST ""Wellness Cafe & Bar""",2 Standard Capsule Rooms for Male,YES,YES,"₹ 7,774",,,,
8238,安心お宿 新宿駅前店-男性専用,Double Room with Small Double Bed - Non-Smoking,YES,NO,"₹ 6,002",,,,
8239,R&B Hotel Otsuka Eki Kitaguchi,Superior King Room,NO,NO,"₹ 39,701",,,,
8240,Tokyo Marriott Hotel,Cozy Double Room - Non-Smoking,NO,YES,"₹ 9,995",,,,
8241,Tokyu Stay Shimbashi - Ginza area,Double Room with Small Double Bed - Smoking,YES,YES,"₹ 6,816",,,,
8242,HOTEL LiVEMAX Asakusa-Ekimae,Triple Room with Balcony (3 Adult),YES,YES,"₹ 9,820",,,,
8243,Hotel SAILS,Double Room,YES,YES,"₹ 8,096",,,,
8244,nestay apartment tokyo ginza,Standard Double Room - Non-Smoking,YES,YES,"₹ 10,254",,,,
8245,Super Hotel Ueno-Okachimachi,Double Room - Smoking,NO,YES,"₹ 7,171",,,,
